Time,Mx,My,Mz,Vx,Vy,Vz
1758119546.5683658,131.64,-140.101,121.973,17,-17,16
1758119549.6520417,131.85100000000003,-139.83599999999998,129.948,17,-17,17
1758119552.7223914,131.90800000000002,-139.773,140.36700000000002,17,-17,18
1758119555.7955287,132.03900000000002,-139.561,149.61399999999998,17,-17,19
1758119558.863999,131.606,-138.934,159.099,17,-17,20
1758119561.9307702,129.849,-142.70699999999997,-177.377,17,-16,-20
1758119564.9997125,129.969,-142.252,-169.23499999999996,17,-16,-19
1758119568.082281,130.123,-142.098,-160.56,17,-16,-18
1758119571.1547022,129.89600000000002,-141.66800000000003,-151.792,17,-16,-17
1758119574.2236521,130.042,-141.63000000000002,-143.15099999999998,17,-16,-16
1758119577.2958057,130.06699999999998,-141.23100000000002,-134.505,17,-16,-15
1758119580.366097,130.11700000000002,-140.94,-126.46900000000001,17,-16,-14
1758119583.437734,130.197,-140.73700000000002,-117.76000000000002,17,-16,-13
1758119586.5048885,130.373,-140.479,-108.95800000000001,17,-16,-12
1758119589.574354,130.23399999999998,-140.034,-100.62100000000001,17,-16,-11
1758119592.6411324,130.53699999999998,-139.98899999999998,-91.74600000000001,17,-16,-10
1758119595.7114398,130.54800000000003,-139.72200000000004,-83.112,17,-16,-9
1758119598.7868986,130.458,-139.447,-74.55999999999999,17,-16,-8
1758119601.8664105,130.299,-139.147,-66.19200000000001,17,-16,-7
1758119604.9326124,130.649,-139.111,-57.173,17,-16,-6
1758119608.0065129,130.651,-138.532,-48.864999999999995,17,-16,-5
1758119611.0738869,130.55900000000003,-138.626,-39.80800000000001,17,-16,-4
1758119614.1437476,130.638,-138.329,-31.337,17,-16,-3
1758119617.2130766,130.842,-138.147,-22.157999999999998,17,-16,-2
1758119620.2788084,130.716,-137.828,-14.132,17,-16,-1
1758119623.3511202,130.776,-137.316,-5.667,17,-16,0
1758119626.4210472,130.913,-137.2,0.049999999999999996,17,-16,1
1758119629.4923267,131.002,-136.90799999999996,6.710000000000001,17,-16,2
1758119632.559197,130.97600000000003,-136.76500000000001,13.679999999999998,17,-16,3
1758119635.62908,131.223,-136.724,22.187999999999995,17,-16,4
1758119638.6968594,131.18,-136.648,29.510999999999996,17,-16,5
1758119641.768175,131.1,-136.227,37.36,17,-16,6
1758119644.8349144,131.122,-136.11100000000002,46.51,17,-16,7
1758119647.9047868,130.988,-135.793,54.748000000000005,17,-16,8
1758119650.9892833,131.39600000000002,-135.454,62.85600000000001,17,-16,9
1758119654.0434542,131.40200000000002,-135.109,73.21799999999999,17,-16,10
1758119657.1245272,131.518,-134.565,82.005,17,-16,11
1758119660.1826334,131.682,-134.401,89.65400000000002,17,-16,12
1758119663.2637422,131.78400000000002,-134.166,99.29400000000001,17,-16,13
1758119666.3352025,131.87800000000001,-133.829,107.81599999999999,17,-16,14
1758119669.403887,131.64499999999998,-133.50099999999998,116.11599999999999,17,-16,15
1758119672.3743756,118.47600000000003,-133.61,124.424,17,-16,16
1758119675.4375284,131.673,-132.80900000000003,132.93400000000003,17,-16,17
1758119678.4141376,131.884,-132.989,141.61,17,-16,18
1758119681.481941,132.055,-132.575,150.711,17,-16,19
1758119684.56555,132.147,-132.275,158.06099999999998,17,-16,20
1758119687.6364233,130.173,-135.71200000000002,-177.652,17,-15,-20
1758119690.7043014,129.95999999999998,-135.666,-169.172,17,-15,-19
1758119693.7726235,129.96200000000002,-135.44,-160.402,17,-15,-18
1758119696.8476422,130.06,-135.056,-151.3,17,-15,-17
1758119699.9138355,130.366,-134.363,-143.512,17,-15,-16
1758119702.9857721,130.382,-134.34,-135.198,17,-15,-15
1758119706.0520165,130.217,-133.858,-126.928,17,-15,-14
1758119709.1351314,130.676,-133.643,-117.83099999999999,17,-15,-13
1758119712.2089238,130.316,-133.257,-109.468,17,-15,-12
