TestSat.UTCModJulian      TestSat.A1ModJulian       TestSat.Earth.Latitude    TestSat.Earth.Longitude   TestSat.Earth.Altitude    
30910.18852541023         30910.18895404891         50.61749219380840         -145.2382456467913        422.3564014662361         
30910.18903457253         30910.18946321120         49.90491271558928         -141.1278460303871        422.1618103672381         
30910.18969830800         30910.19012694668         48.74626676614787         -135.9786860216966        421.8536586162500         
30910.19050663710         30910.19093527577         47.01349311593517         -130.0687672053814        421.4030911036325         
30910.19134742178         30910.19177606045         44.87872428934020         -124.3686102465585        420.8598948151048         
30910.19224158594         30910.19267022462         42.28830397972899         -118.8053877554104        420.2178973787104         
30910.19327693120         30910.19370556988         38.94412488626331         -112.9679110422337        419.4221481206705         
30910.19433066401         30910.19475930269         35.23108747336143         -107.6216706077877        418.5940463414436         
30910.19441124997         30910.19483988865         34.93615060309929         -107.2350822918008        418.5312063075908         
30910.19455129066         30910.19497992934         34.42024022697640         -106.5703085058846        418.4224219039197         
30910.19474056436         30910.19516920303         33.71634976282406         -105.6856892779424        418.2763999720546         
30910.19501243105         30910.19544106973         32.69259758269657         -104.4419910772110        418.0691679864367         
30910.19536351133         30910.19579215000         31.34969552985035         -102.8807135328717        417.8070696481518         
30910.19590890717         30910.19633754584         29.22082979215234         -100.5485134409442        417.4158610943450         
30910.19662018798         30910.19704882666         26.37547495076612         -97.66055503738467        416.9437811378166         
30910.19744711505         30910.19787575373         22.98428073584206         -94.49232475326617        416.4650405356851         
30910.19846106577         30910.19888970445         18.72741911280778         -90.83675023227258        416.0072680016065         
30910.19951572923         30910.19994436790         14.21107124062900         -87.24392947977945        415.7128184310668         
30910.20057506287         30910.20100370154         9.609581805439912         -83.79186265829229        415.6309374690263         
30910.20135569442         30910.20178433309         6.190540516066232         -81.31674628950348        415.7194684428223         
30910.20235207803         30910.20278071671         1.806925508842405         -78.20643695137431        416.0240141997583         
30910.20339776255         30910.20382640123         -2.800004078871878        -74.95986562203306        416.5765002810576         
30910.20445153223         30910.20488017090         -7.429877426852647        -71.66003090964900        417.3676115707376         
30910.20550968739         30910.20593832606         -12.04580484309662        -68.26918253764299        418.3818071694877         
30910.20656363785         30910.20699227653         -16.58851998757231        -64.76336697907584        419.5846327153304         
30910.20762333337         30910.20805197205         -21.07638624043498        -61.05289081865593        420.9528924762672         
30910.20830013886         30910.20872877753         -23.88816713109911        -58.55721348000675        421.8909443727680         
30910.20915413327         30910.20958277195         -27.36029318584627        -55.23571819131979        423.1237508471886         
30910.21009521989         30910.21052385857         -31.06688148178243        -51.30869171853303        424.5163552009890         
30910.21111848737         30910.21154712604         -34.92022498530395        -46.65641822390902        426.0294683634029         
